id,name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
27730357,Home in Bozeman · 4 bedrooms · 5 beds · 2 baths,209352450,Sarah,t,,,5,$350.00,4.5
27809237,Home in Bozeman · 2 bedrooms · 1 bed · 1 shared bath,199558628,Vanessa,f,Bozeman, Montana, United States,,1,$90.00,
27854265,Home in Bozeman · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7722453,Rachel,t,Bozeman, Montana, United States,,1,$166.00,4.92
27988420,Townhouse in Bozeman · ★4.67 · 2 bedrooms · 4 beds · 3.5 baths,122381278,Evolve,t,Bozeman, Montana, United States,,4,$152.00,4.67
29658137,Home in Bozeman · ★New · 3 bedrooms · 3 beds · 2 baths,259151,Stefan,f,Bozeman, Montana, United States,,3,$200.00,
29828057,Rental unit in Bozeman · ★4.70 · 1 bedroom · 1 bed · 1 bath,158595657,Mountain Home,t,,,1,$187.00,4.7
29899479,Bungalow in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 1 bath,224820389,Shawna,f,Bozeman, Montana, United States,,2,$105.00,5.0
30326352,Home in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 private bath,96363366,Jason,t,Bozeman, Montana, United States,,1,$162.00,4.98
30397317,Loft in Bozeman · ★4.91 · Studio · 1 bed · 1 bath,58894863,Amy,t,Bozeman, Montana, United States,,1,$116.00,4.91
31341829,Townhouse in Bozeman · ★4.98 · 3 bedrooms · 4 beds · 2 baths,14612117,Kietra,f,Bozeman, Montana, United States,,4,$287.00,4.98
31905516,Townhouse in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,33934983,Melissa,f,Bozeman, Montana, United States,,1,$180.00,5.0
33094078,Townhouse in Bozeman · ★4.99 · 3 bedrooms · 3 beds · 2 baths,133422103,Tess,t,Bozeman, Montana, United States,,3,$213.00,4.99
33241999,Condo in Bozeman · ★4.69 · 2 bedrooms · 2 beds · 2 baths,78849013,Stay Montana,t,,,2,$184.00,4.69
33851416,Home in Bozeman · ★4.91 · 2 bedrooms · 3 beds · 1 bath,255480314,Mike & Emily,t,Bozeman, Montana, United States,,3,$134.00,4.91
34889598,Cottage in Bozeman · ★5.0 · Studio · 1 bed · 1 bath,10828597,Amy,t,Bozeman, Montana, United States,,1,$67.00,5.0
35577163,Home in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 1 bath,8224408,Paul,t,Bozeman, Montana, United States,,2,$229.00,5.0
36097634,Rental unit in Bozeman · ★4.85 · 2 bedrooms · 3 beds · 2 baths,271534497,Jason,f,,,3,$203.00,4.85
36181219,Home in Bozeman · ★4.92 · 2 bedrooms · 3 beds · 1.5 baths,272118985,Robin,f,Bozeman, Montana, United States,,3,$382.00,4.92
36518869,Rental unit in Bozeman · ★4.96 · 1 bedroom · 1 bed · 1 bath,274550698,Amanda,t,Bozeman, Montana, United States,,1,$110.00,4.96
36798038,Condo in Bozeman · ★4.83 · 3 bedrooms · 4 beds · 2 baths,1978098,Kimberly,f,Bozeman, Montana, United States,,4,$213.00,4.83
36799435,Home in Bozeman · ★4.97 · 3 bedrooms · 3 beds · 2.5 baths,177693150,Alexa,f,,,3,$204.00,4.97
36931430,Guesthouse in Bozeman · ★4.96 · 1 bedroom · 2 beds · 1 bath,41269419,Chase,t,Bozeman, Montana, United States,,2,$99.00,4.96
37483040,Rental unit in Bozeman · ★4.75 · 1 bedroom · 2 beds · 1 bath,21088231,Justine,f,Bozeman, Montana, United States,,2,$115.00,4.75
37658979,Home in Bozeman · ★5.0 · 3 bedrooms · 5 beds · 2 baths,8224408,Paul,t,Bozeman, Montana, United States,,5,$313.00,5.0
37878272,Rental unit in Bozeman · ★4.65 · 1 bedroom · 2 beds · 1 bath,21088231,Justine,f,Bozeman, Montana, United States,,2,$94.00,4.65
38379009,Home in Bozeman · ★4.67 · 2 bedrooms · 2 beds · 1 bath,104010331,Dream MT,f,Bozeman, Montana, United States,,2,$193.00,4.67
39002591,Guesthouse in Bozeman · ★4.97 · Studio · 2 beds · 1 bath,45830254,Phillip + Kristyn,t,,,2,$104.00,4.97
39028561,Cottage in Bozeman · ★4.95 · 2 bedrooms · 4 beds · 2 baths,299079914,Bart,t,Bozeman, Montana, United States,,4,$154.00,4.95
39551580,Home in Bozeman · ★4.89 · 2 bedrooms · 2 beds · 2 baths,8224408,Paul,t,Bozeman, Montana, United States,,2,$240.00,4.89
39642791,Home in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1 bath,304628102,Lisa,t,Bozeman, Montana, United States,,1,$264.00,5.0
39951421,Home in Bozeman · ★4.93 · 4 bedrooms · 6 beds · 2 baths,8224408,Paul,t,,,6,$418.00,4.93
39951635,Home in Bozeman · ★4.90 · 2 bedrooms · 3 beds · 2 baths,8224408,Paul,t,,,3,$261.00,4.9
40064041,Home in Bozeman · ★4.91 · 3 bedrooms · 3 beds · 2 baths,27846465,Rebecca,f,Bozeman, Montana, United States,,3,$220.00,4.91
40202339,Home in Bozeman · ★5.0 · 1 bedroom · 2 beds · 1 bath,310484531,Lisa,t,Bozeman, Montana, United States,,2,$199.00,5.0
40302606,Home in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 bath,155447,Mark,f,Bozeman, Montana, United States,,1,$75.00,4.98
40806022,Rental unit in Bozeman · ★4.74 · 3 bedrooms · 4 beds · 1 bath,317251520,Katie,t,Bozeman, Montana, United States,,4,$132.00,4.74
40913911,Boutique hotel in Bozeman · ★4.67 · 1 bedroom · 2 beds · 1 private bath,318737520,RSVP Hotel,t,Bozeman, Montana, United States,,2,$238.00,4.67
41080693,Townhouse in Bozeman · ★4.96 · 2 bedrooms · 2 beds · 2.5 baths,206664747,Penny And Bryce,t,Bozeman, Montana, United States,,2,$264.00,4.96
41296861,Home in Bozeman · ★4.81 · 3 bedrooms · 3 beds · 1.5 baths,32302835,Sarah,t,Bozeman, Montana, United States,,3,$149.00,4.81
41430974,Home in Bozeman · ★4.93 · 3 bedrooms · 3 beds · 1 bath,222903364,Debbie,t,Bozeman, Montana, United States,,3,$216.00,4.93
41749663,Townhouse in Bozeman · ★4.98 · 3 bedrooms · 3 beds · 3 baths,329791321,Patrick,t,Bozeman, Montana, United States,,3,$439.00,4.98
42330186,Rental unit in Bozeman · ★4.98 · 2 bedrooms · 3 beds · 1 bath,80123200,Heather,t,Bozeman, Montana, United States,,3,$161.00,4.98
42471467,Guesthouse in Bozeman · ★4.97 · 1 bedroom · 2 beds · 1 bath,22366054,Tessa,t,Bozeman, Montana, United States,,2,$151.00,4.97
42563510,Condo in Bozeman · ★4.93 · 2 bedrooms · 2 beds · 2 baths,122381278,Evolve,t,Bozeman, Montana, United States,,2,$194.00,4.93
42690670,Cottage in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 2 baths,340073907,Bo And Kelley,t,Bozeman, Montana, United States,,2,$146.00,4.97
42913733,Home in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,2209026,Kristen,t,Bozeman, Montana, United States,,1,$189.00,4.97
43516278,Guest suite in Bozeman · ★4.77 · 2 bedrooms · 3 beds · 1 bath,26925375,Loretta & Jack,t,,,3,$125.00,4.77
43624070,Townhouse in Bozeman · ★4.94 · 2 bedrooms · 2 beds · 2 baths,2485195,Kay,t,Bozeman, Montana, United States,,2,$135.00,4.94
43689621,Guest suite in Bozeman · ★4.91 · 1 bedroom · 1 bed · 1 bath,22056231,Kelsey,t,Bozeman, Montana, United States,,1,$92.00,4.91
43745279,Home in Bozeman · ★5.0 · 6 bedrooms · 8 beds · 6.5 baths,8224408,Paul,t,,,8,$788.00,5.0
43745323,Townhouse in Bozeman · ★4.60 · 2 bedrooms · 2 beds · 2 baths,8224408,Paul,t,,,2,$409.00,4.6
43745331,Home in Bozeman · ★5.0 · 2 bedrooms · 3 beds · 2 baths,8224408,Paul,t,,,3,$366.00,5.0
43788075,Guesthouse in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,141188755,Emily,f,Bozeman, Montana, United States,,1,$115.00,4.95
43836157,Condo in Bozeman · ★4.73 · 1 bedroom · 1 bed · 1 private bath,350610001,Garrett,f,Bozeman, Montana, United States,,1,$95.00,4.73
43928912,Condo in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,169754903,VR Bozeman,t,Bozeman, Montana, United States,,1,$197.00,4.95
43928924,Rental unit in Bozeman · ★4.89 · 2 bedrooms · 2 beds · 1 bath,169754903,VR Bozeman,t,Bozeman, Montana, United States,,2,$197.00,4.89
44062808,Home in Bozeman · ★4.95 · 4 bedrooms · 7 beds · 2.5 baths,304628102,Lisa,t,Bozeman, Montana, United States,,7,$700.00,4.95
45027743,Guesthouse in Bozeman · ★5.0 · 1 bedroom · 1 bath,80104837,Arne,f,Bozeman, Montana, United States,,,$245.00,5.0
45075319,Rental unit in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 bath,219957508,Luke,f,,,1,$110.00,4.98
45179305,Home in Bozeman · ★4.96 · 2 bedrooms · 2 beds · 1 bath,31042092,Bri,t,Bozeman, Montana, United States,,2,$300.00,4.96
45381974,Home in Bozeman · ★4.67 · 3 bedrooms · 3 beds · 1 bath,317251520,Katie,t,Bozeman, Montana, United States,,3,$161.00,4.67
45543284,Condo in Bozeman · ★4.99 · 1 bedroom · 2 beds · 1 bath,241117654,Abigail,t,Bozeman, Montana, United States,,2,$154.00,4.99
45636583,Condo in Bozeman · ★4.94 · 1 bedroom · 2 beds · 1 bath,368324386,John,t,,,2,$135.00,4.94
45825187,Condo in Bozeman · ★4.99 · 1 bedroom · 1 bed · 1 bath,27061791,Ambrose & Jill,t,Bozeman, Montana, United States,,1,$202.00,4.99
45879842,Home in Bozeman · 4 bedrooms · 4 beds · 3 baths,3056473,Kelly,f,,,4,$230.00,
46104133,Home in Bozeman · ★4.75 · 3 bedrooms · 3 beds · 1 bath,104010331,Dream MT,f,,,3,$385.00,4.75
46335623,Condo in Bozeman · ★4.99 · 1 bedroom · 2 beds · 1 bath,334582361,Kelly,t,,,2,$189.00,4.99
46377655,Home in Bozeman · ★4.97 · 3 bedrooms · 3 beds · 2 baths,169754903,VR Bozeman,t,Bozeman, Montana, United States,,3,$312.00,4.97
46641566,Guest suite in Bozeman · ★4.92 · 1 bedroom · 2 beds · 1 bath,7161309,Orlando,t,Bozeman, Montana, United States,,2,$100.00,4.92
46816607,Camper/RV in Bozeman · ★4.89 · 1 bedroom · 3 beds · 1 bath,7831671,Lei-Anna & Troy,t,Bozeman, Montana, United States,,3,$94.00,4.89
47056552,Boutique hotel in Bozeman · ★4.89 · 1 bedroom · 1 bed · 1 private bath,318737520,RSVP Hotel,t,,,1,$138.00,4.89
47056582,Boutique hotel in Bozeman · ★4.63 · 1 bedroom · 2 beds · 1 private bath,318737520,RSVP Hotel,t,,,2,$154.00,4.63
47056646,Boutique hotel in Bozeman · ★4.93 · 1 bedroom · 1 bed · 1 private bath,318737520,RSVP Hotel,t,,,1,$148.00,4.93
